Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Charles Sims,2017,TB,16,35,249,7.11,15.6,25,1,12,47,206
Travis Benjamin,2017,LAC,16,34,567,16.68,35.4,62t,4,20,65,210
Corey Davis,2017,TEN,11,34,375,11.03,34.1,37,0,17,65,101
Wayne Gallman,2017,NYG,13,34,193,5.68,14.8,11,1,8,48,201
Chris Godwin,2017,TB,16,34,525,15.44,32.8,70,1,27,55,169
Chris Hogan,2017,NE,9,34,439,12.91,48.8,47t,5,22,59,171
J.D. McKissic,2017,SEA,13,34,266,7.82,20.5,27t,2,12,46,186
DeAndre Washington,2017,OAK,15,34,197,5.79,13.1,15,1,14,45,165
Seth Devalve,2017,CLE,16,33,395,11.97,24.7,49,1,18,58,171
Taylor Gabriel,2017,ATL,16,33,378,11.45,23.6,40t,1,17,51,217
Jermaine Gresham,2017,ARI,14,33,322,9.76,23,21,2,17,46,136
Kyle Juszczyk,2017,SF,14,33,315,9.55,22.5,44,1,13,42,207
Danny Woodhead,2017,BAL,8,33,200,6.06,25,22,0,9,39,118
Kenyan Drake,2017,MIA,16,32,239,7.47,14.9,47,1,7,48,214
Dion Lewis,2017,NE,16,32,214,6.69,13.4,20,3,11,35,224
David Njoku,2017,CLE,16,32,386,12.06,24.1,34,4,17,60,151
