Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Cedrick Wilson,2019,DAL,6,5,46,9.2,7.7,14,0,2,8,11
Nick Bawden,2019,DET,10,4,17,4.25,1.7,10,0,1,6,20
Khari Blasingame,2019,TEN,6,4,54,13.5,9,24,0,2,5,33
Antonio Brown,2019,NE,1,4,56,14,56,20t,1,3,8,7
Tra Carson,2019,GB,2,4,18,4.5,9,8,0,0,4,14
Michael Crabtree,2019,ARI,2,4,22,5.5,11,9,0,0,5,5
Ryan Grant,2019,OAK,2,4,14,3.5,7,9,0,1,9,5
Darrell Henderson,2019,LA,13,4,37,9.25,2.9,14,0,1,6,37
Rashard Higgins,2019,CLE,10,4,55,13.75,5.5,35,1,3,11,9
Khadarel Hodge,2019,CLE,16,4,76,19,4.8,41,0,3,10,9
Tevin Jones,2019,PIT,5,4,61,15.25,12.2,28,0,1,10,11
Jordan Matthews,2019,PHI,2,4,33,8.25,16.5,10,0,1,12,7
Donte Moncrief,2019,PIT,5,4,18,4.5,3.6,11,0,1,15,3
John Mundt,2019,LA,13,4,26,6.5,2,9,0,1,7,10
J.J. Nelson,2019,OAK,2,4,36,9,18,29t,1,1,5,15
Trent Sherfield,2019,ARI,16,4,80,20,5,38,0,4,13,10
Lee Smith,2019,BUF,16,4,31,7.75,1.9,9,1,2,5,9
Ross Travis,2019,IND,3,4,51,12.75,17,25,0,1,6,31
Clive Walford,2019,MIA,7,4,57,14.25,8.1,19,0,4,8,27
DeAndrew White,2019,CAR,10,4,51,12.75,5.1,18,0,3,9,28
Mike Boone,2019,MIN,16,3,17,5.67,1.1,7,0,0,4,26
Cody Core,2019,NYG,16,3,28,9.33,1.8,11,0,2,5,3
Geremy Davis,2019,LAC,7,3,38,12.67,5.4,19,0,1,3,2
Robert Foster,2019,BUF,13,3,64,21.33,4.9,24,0,3,18,32
Devin Funchess,2019,IND,1,3,32,10.67,32,16,0,2,5,6
Jon Hilliman,2019,NYG,3,3,1,0.33,0.3,5,0,0,4,10
Johnny Holton,2019,PIT,16,3,21,7,1.3,18,0,1,15,10
T.J. Jones,2019,NYG,3,3,38,12.67,12.7,28,1,2,4,23
Lance Kendricks,2019,LAC,12,3,50,16.67,4.2,24,0,3,7,7
Chris Lacy,2019,DET,7,3,60,20,8.6,48,0,2,10,9
Marqise Lee,2019,JAX,6,3,18,6,3,8,0,2,4,5
Chris Moore,2019,BAL,14,3,21,7,1.5,13,0,0,5,10
Stanley Morgan,2019,CIN,11,3,18,6,1.6,9,0,0,10,10
Josh Oliver,2019,JAX,4,3,15,5,3.8,6,0,0,6,5
Devine Ozigbo,2019,JAX,10,3,23,7.67,2.3,12,0,1,5,20
Andre Roberts,2019,BUF,13,3,20,6.67,1.5,7,0,1,7,5
Russell Shepard,2019,NYG,3,3,25,8.33,8.3,12,0,1,8,13
Benjamin Snell,2019,PIT,13,3,23,7.67,1.8,14,0,0,4,22
Derek Watt,2019,LAC,16,3,32,10.67,2,21,0,1,5,28
Jesus Wilson,2019,TB,6,3,35,11.67,5.8,14,0,2,11,3
Jeffery Wilson,2019,SF,10,3,34,11.33,3.4,25t,1,1,5,21
Deon Yelder,2019,KC,9,3,50,16.67,5.6,24,0,2,4,32
Olamide Zaccheaus,2019,ATL,10,3,115,38.33,11.5,93t,1,2,5,63
Alex Armah,2019,CAR,16,2,6,3,0.4,4,0,0,2,7
Chad Beebe,2019,MIN,3,2,70,35,23.3,61,0,2,2,66
Josh Bellamy,2019,NYJ,7,2,20,10,2.9,15,0,1,3,10
Nick Bellore,2019,SEA,14,2,23,11.5,1.6,20,1,2,2,21
C.J. Board,2019,JAX,4,2,31,15.5,7.8,23,0,1,4,6
Fred Brown,2019,DEN,13,2,21,10.5,1.6,16,0,1,3,0
Malcolm Brown,2019,LA,14,2,16,8,1.1,10,0,0,6,7
Pharaoh Brown,2019,CLE,9,2,27,13.5,3,18,0,1,3,14
Deontay Burnett,2019,PHI,1,2,48,24,48,41,0,1,4,6
Cethan Carter,2019,CIN,15,2,13,6.5,0.9,8t,1,2,3,5
Robert Davis,2019,WAS/PHI,6,2,17,8.5,2.8,11,0,2,5,2
Ashton Dulin,2019,IND,13,2,17,8.5,1.3,13,0,0,2,23
Tyler Ervin,2019,GB,4,2,11,5.5,2.8,6,0,1,4,12
Rico Gafford,2019,OAK,4,2,66,33,16.5,49t,1,2,2,17
Wes Hills,2019,DET,1,2,1,0.5,1,2,0,0,2,3
Alexander Hollins,2019,MIN,5,2,46,23,9.2,35,0,2,4,6
Cody Hollister,2019,TEN,5,2,13,6.5,2.6,11,0,0,2,3
Tanner Hudson,2019,TB,9,2,26,13,2.9,14,0,1,5,2
Ishmael Hyman,2019,TB,2,2,34,17,17,31,0,2,4,1
Darius Jennings,2019,TEN,8,2,17,8.5,2.1,11,0,2,5,14
T.J. Logan,2019,TB,12,2,13,6.5,1.1,11,0,1,3,9
Steven Mitchell,2019,HOU,3,2,37,18.5,12.3,21,0,2,6,14
Jason Moore,2019,LAC,10,2,43,21.5,4.3,32,0,2,5,6
Isaac Nauta,2019,DET,6,2,13,6.5,2.2,10,0,1,3,8
Roosevelt Nix,2019,PIT,3,2,4,2,1.3,4,0,0,3,9
Gunner Olszewski,2019,NE,8,2,34,17,4.2,29,0,1,4,16
Elijhaa Penny,2019,NYG,16,2,9,4.5,0.6,9,0,0,4,22
Troymaine Pope,2019,LAC,14,2,14,7,1,13t,1,1,3,11
Eric Saubert,2019,CHI,2,2,21,10.5,10.5,11,0,1,3,18
Da'Mari Scott,2019,NYG,5,2,22,11,4.4,11,0,2,3,14
Anthony Sherman,2019,KC,16,2,22,11,1.4,15,0,2,3,23
Scott Simonson,2019,NYG,5,2,11,5.5,2.2,10,0,1,2,3
Cam Sims,2019,WAS,7,2,27,13.5,3.9,15,0,1,3,8
Mike Thomas,2019,LA,16,2,14,7,0.9,9,0,1,5,10
Levine Toilolo,2019,SF,13,2,10,5,0.8,8,0,0,2,13
Michael Walker,2019,JAX,7,2,15,7.5,2.1,9,0,1,3,7
Trevon Wesco,2019,NYJ,16,2,47,23.5,2.9,32,0,2,3,40
Zach Zenner,2019,NO/ARI,4,2,19,9.5,4.8,13,0,2,3,19
Jamal Agnew,2019,DET,13,1,-2,-2,-0.1,-2,0,0,2,1
Javorius Allen,2019,NYG,10,1,9,9,0.9,9,0,0,2,4
Antony Auclair,2019,TB,8,1,11,11,1.4,11,0,1,3,8
David Blough,2019,DET,5,1,19,19,3.8,19t,1,1,1,5
Garrett Bradbury,2019,MIN,16,1,-4,-4,-0.2,-4,0,0,1,0
Jacoby Brissett,2019,IND,15,1,2,2,0.1,2,0,0,1,2
Ventell Bryant,2019,DAL,12,1,15,15,1.2,15t,1,1,1,0
Kevin Byard,2019,TEN,16,1,11,11,0.7,11,0,1,1,8
Austin Carr,2019,NO,6,1,9,9,1.5,9,0,1,4,4
Sean Culkin,2019,LAC,4,1,12,12,3,12,0,1,2,0
Andy Dalton,2019,CIN,13,1,-4,-4,-0.3,-4,0,0,1,4
Darrell Daniels,2019,ARI,11,1,4,4,0.4,4,0,1,3,0
Cody Davis,2019,JAX,16,1,7,7,0.4,7,0,1,1,5
Rashard Davis,2019,TEN,1,1,16,16,16,16,0,1,1,0
Dion Dawkins,2019,BUF,16,1,1,1,0.1,1t,1,1,1,0
Michael Deiter,2019,MIA,16,1,0,0,0,0,0,0,1,0
Jeff Driskel,2019,DET,3,1,6,6,2,6,0,0,1,9
Quincy Enunwa,2019,NYJ,1,1,-4,-4,-4,8,0,0,3,-4
Zach Gentry,2019,PIT,4,1,4,4,1,4,0,1,1,2
Cyril Grayson,2019,TB,2,1,3,3,1.5,3,0,0,1,1
Xavier Grimble,2019,PIT,3,1,3,3,1,3,0,0,3,2
Dwayne Harris,2019,OAK,3,1,7,7,2.3,7,0,0,1,7
Chris Herndon IV,2019,NYJ,1,1,7,7,7,7,0,0,2,5
Krishawn Hogan,2019,NO,8,1,4,4,0.5,4,0,0,1,2
Jakob Johnson,2019,NE,4,1,5,5,1.2,5,0,0,2,1
Charles Jones,2019,JAX,4,1,5,5,1.2,5,0,0,1,2
Taiwan Jones,2019,HOU,11,1,9,9,0.8,9,0,0,1,12
Dennis Kelly,2019,TEN,15,1,1,1,0.1,1t,1,1,1,0
Ben Koyack,2019,JAX,11,1,9,9,0.8,9,0,0,3,3
Chris Manhertz,2019,CAR,15,1,11,11,0.7,11,0,1,1,9
Codey McElroy,2019,TB,1,1,30,30,30,30,0,1,1,0
Kaleb McGary,2019,ATL,16,1,-3,-3,-0.2,-3,0,0,1,0
Qadree Ollison,2019,ATL,8,1,7,7,0.9,7,0,1,2,3
Ricky Ortiz,2019,NO,1,1,8,8,8,8,0,0,1,7
Paul Perkins,2019,DET,4,1,9,9,2.2,9,0,0,1,10
Senorise Perry,2019,BUF,11,1,1,1,0.1,1,0,0,1,2
David Quessenberry,2019,TEN,4,1,1,1,0.2,1t,1,1,1,0
Elandon Roberts,2019,NE,16,1,38,38,2.4,38t,1,1,1,31
Ty Sambrailo,2019,ATL,13,1,35,35,2.7,35t,1,1,1,20
Jason Sanders,2019,MIA,16,1,1,1,0.1,1t,1,1,1,0
Bo Scarbrough,2019,DET,6,1,5,5,0.8,5,0,0,4,8
Dalton Schultz,2019,DAL,16,1,6,6,0.4,6,0,0,2,1
Jaleel Scott,2019,BAL,3,1,6,6,2,6,0,0,3,6
Nick Scott,2019,LA,16,1,23,23,1.4,23,0,1,1,20
Darrius Shepherd,2019,GB,6,1,1,1,0.2,1,0,0,2,3
Jeff Smith,2019,NYJ,1,1,12,12,12,12,0,1,2,0
Keith Smith,2019,ATL,16,1,13,13,0.8,13,0,1,3,13
Tyrone Swoopes,2019,SEA,5,1,5,5,1,5,0,0,1,7
Wyatt Teller,2019,CLE,15,1,-5,-5,-0.3,-5,0,0,1,0
De'Anthony Thomas,2019,KC,6,1,6,6,1,6,0,0,2,3
Jordan Thomas,2019,HOU,5,1,8,8,1.6,8,0,0,3,3
Eric Tomlinson,2019,NE,2,1,1,1,0.5,1,0,0,1,1
John Ursua,2019,SEA,3,1,11,11,3.7,11,0,1,1,0
Vita Vea,2019,TB,16,1,1,1,0.1,1t,1,1,1,0
Dwayne Washington,2019,NO,16,1,6,6,0.4,6,0,0,1,11
Deshaun Watson,2019,HOU,15,1,6,6,0.4,6t,1,1,1,6
Kerrith Whyte,2019,PIT,6,1,9,9,1.5,9,0,1,1,11
Christian Wilkins,2019,MIA,16,1,1,1,0.1,1t,1,1,1,1
Jay Ajayi,2019,PHI,3,0,0,0,0,0,0,0,1,0
Michael Burton,2019,WAS,10,0,0,0,0,0,0,0,1,0
Kirk Cousins,2019,MIN,15,0,0,0,0,0,0,0,1,0
Dane Cruikshank,2019,TEN,16,0,0,0,0,0,0,0,1,0
Dalyn Dawkins,2019,TEN,2,0,0,0,0,0,0,0,1,0
George Fant,2019,SEA,16,0,0,0,0,0,0,0,1,0
Travis Fulgham,2019,DET,3,0,0,0,0,0,0,0,3,0
Jalen Guyton,2019,LAC,3,0,0,0,0,0,0,0,2,0
Justin Hardee,2019,NO,16,0,0,0,0,0,0,0,1,0
Lil'Jordan Humphrey,2019,NO,5,0,0,0,0,0,0,0,1,0
Deon Lacey,2019,MIA,16,0,0,0,0,0,0,0,1,0
David Long,2019,LA,8,0,0,0,0,0,0,0,1,0
Baker Mayfield,2019,CLE,16,0,0,0,0,0,0,0,0,0
Jamize Olawale,2019,DAL,16,0,0,0,0,0,0,0,2,0
Jace Sternberger,2019,GB,6,0,0,0,0,0,0,0,1,0
Taywan Taylor,2019,CLE,3,0,0,0,0,0,0,0,1,0
Tyrod Taylor,2019,LAC,8,0,0,0,0,0,0,0,1,0
Chad Williams,2019,IND,1,0,0,0,0,0,0,0,1,0
Michael Thomas,2018,NO,16,125,"1,405",11.24,87.8,72t,9,75,147,514
Zach Ertz,2018,PHI,16,116,"1,163",10.03,72.7,34,8,66,156,353
DeAndre Hopkins,2018,HOU,16,115,"1,572",13.67,98.2,49t,11,81,163,387
Julio Jones,2018,ATL,16,113,"1,677",14.84,104.8,58,8,80,170,448
Adam Thielen,2018,MIN,16,113,"1,373",12.15,85.8,68,9,74,153,416
Davante Adams,2018,GB,15,111,"1,386",12.49,92.4,57,13,64,169,475
JuJu Smith-Schuster,2018,PIT,16,111,"1,426",12.85,89.1,97t,7,67,166,648
Christian McCaffrey,2018,CAR,16,107,867,8.1,54.2,38,6,41,124,855
Antonio Brown,2018,PIT,15,104,"1,297",12.47,86.5,78t,15,63,168,485
Travis Kelce,2018,KC,16,103,"1,336",12.97,83.5,43,10,68,150,569
Stefon Diggs,2018,MIN,15,102,"1,021",10.01,68.1,75t,9,49,149,448
Keenan Allen,2018,LAC,16,97,"1,196",12.33,74.8,54,6,62,136,403
Saquon Barkley,2018,NYG,16,91,721,7.92,45.1,57t,4,30,121,768
George Kittle,2018,SF,16,88,"1,377",15.65,86.1,85t,5,60,136,870
Tyreek Hill,2018,KC,16,87,"1,479",17,92.4,75t,12,60,137,527
James White,2018,NE,16,87,751,8.63,46.9,42,7,38,123,665
Mike Evans,2018,TB,16,86,"1,524",17.72,95.2,72t,8,69,138,282
Robert Woods,2018,LA,16,86,"1,219",14.17,76.2,39t,6,66,130,420
Alvin Kamara,2018,NO,15,81,709,8.75,47.3,42,4,31,105,642
Jarvis Landry,2018,CLE,16,81,976,12.05,61,51t,4,44,149,274
Brandin Cooks,2018,LA,16,80,"1,204",15.05,75.2,57,5,56,117,346
Odell Beckham Jr.,2018,NYG,12,77,"1,052",13.66,87.7,51,6,51,124,305
Ezekiel Elliott,2018,DAL,15,77,567,7.36,37.8,38t,3,22,95,576
Tyler Boyd,2018,CIN,14,76,"1,028",13.53,73.4,49,7,54,108,418
T.Y. Hilton,2018,IND,14,76,"1,270",16.71,90.7,68t,6,55,120,455
Adam Humphries,2018,TB,16,76,816,10.74,51,51,5,48,105,423
Amari Cooper,2018,OAK/DAL,15,75,"1,005",13.4,67,90t,7,53,107,415
Julian Edelman,2018,NE,12,74,850,11.49,70.8,36,6,41,108,348
Golden Tate,2018,DET/PHI,15,74,795,10.74,53,67,4,33,113,427
Tarik Cohen,2018,CHI,16,71,725,10.21,45.3,70t,5,29,91,520
Austin Hooper,2018,ATL,16,71,660,9.3,41.2,36,4,30,88,237
Emmanuel Sanders,2018,DEN,12,71,868,12.23,72.3,64t,4,36,98,297
Kenny Golladay,2018,DET,15,70,"1,063",15.19,70.9,60,5,56,119,350
Larry Fitzgerald,2018,ARI,16,69,734,10.64,45.9,37,6,39,112,205
Jared Cook,2018,OAK,16,68,896,13.18,56,45,6,46,101,343
Jalen Richard,2018,OAK,16,68,607,8.93,37.9,32,0,23,81,495
Taylor Gabriel,2018,CHI,16,67,688,10.27,43,54,2,31,93,226
Eric Ebron,2018,IND,16,66,750,11.36,46.9,53t,13,39,110,250
Mohamed Sanu,2018,ATL,16,66,838,12.7,52.4,44t,4,41,94,401
Sterling Shepard,2018,NYG,16,66,872,13.21,54.5,58,4,47,107,309
Dede Westbrook,2018,JAX,16,66,717,10.86,44.8,61t,5,39,101,362
Cole Beasley,2018,DAL,16,65,672,10.34,42,32t,3,39,87,213
Corey Davis,2018,TEN,16,65,891,13.71,55.7,51,4,47,112,267
Alshon Jeffery,2018,PHI,13,65,843,12.97,64.8,52,6,48,92,272
Nelson Agholor,2018,PHI,16,64,736,11.5,46,83t,4,28,97,350
Calvin Ridley,2018,ATL,16,64,821,12.83,51.3,75t,10,39,92,364
Kyle Rudolph,2018,MIN,16,64,634,9.91,39.6,44t,4,32,82,245
Nyheim Hines,2018,IND,16,63,425,6.75,26.6,28,2,29,81,349
Jordy Nelson,2018,OAK,15,63,739,11.73,49.3,66,3,36,88,241
Willie Snead,2018,BAL,16,62,651,10.5,40.7,28,1,37,95,282
Theo Riddick,2018,DET,14,61,384,6.3,27.4,20,0,16,74,406
Danny Amendola,2018,MIA,15,59,575,9.75,38.3,39,1,27,79,229
Chris Godwin,2018,TB,16,59,842,14.27,52.6,48,7,48,95,245
Todd Gurley,2018,LA,14,59,580,9.83,41.4,56,4,26,81,587
Dion Lewis,2018,TEN,16,59,400,6.78,25,37,1,13,67,477
Demaryius Thomas,2018,DEN/HOU,15,59,677,11.47,45.1,45,5,37,89,277
Tyler Lockett,2018,SEA,16,57,965,16.93,60.3,52t,10,37,70,213
Zay Jones,2018,BUF,16,56,652,11.64,40.8,57,7,33,102,142
David Njoku,2018,CLE,16,56,639,11.41,39.9,66,4,27,88,306
James Conner,2018,PIT,13,55,497,9.04,38.2,29,1,20,71,548
Jimmy Graham,2018,GB,16,55,636,11.56,39.8,54,2,32,89,261
D.J. Moore,2018,CAR,16,55,788,14.33,49.2,82,2,33,82,421
Allen Robinson,2018,CHI,13,55,754,13.71,58,43,4,36,94,216
T.J. Yeldon,2018,JAX,14,55,487,8.85,34.8,37,4,20,78,450
