Player,Year,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC,lg_yd0,lg_td0,names_year
Justin Hardy,2018,ATL,16,14,133,9.5,8.3,19t,2,8,22,71,19,1,Justin Hardy 2018
Jordan Leggett,2018,NYJ,15,14,114,8.14,7.6,16,1,6,25,49,16,0,Jordan Leggett 2018
Cody Core,2018,CIN,14,13,160,12.31,11.4,30t,1,7,28,36,30,1,Cody Core 2018
Andre Holmes,2018,BUF/DEN,15,13,162,12.46,10.8,24,0,8,24,50,24,0,Andre Holmes 2018
Hayden Hurst,2018,BAL,12,13,163,12.54,13.6,32,1,8,23,74,32,0,Hayden Hurst 2018
Chris Ivory,2018,BUF,13,13,205,15.77,15.8,55,0,7,21,204,55,0,Chris Ivory 2018
Keith Kirkwood,2018,NO,8,13,209,16.08,26.1,42,2,10,21,49,42,0,Keith Kirkwood 2018
Damion Ratley,2018,CLE,13,13,144,11.08,11.1,27,0,5,20,51,27,0,Damion Ratley 2018
Luke Willson,2018,DET,14,13,87,6.69,6.2,13,0,5,19,58,13,0,Luke Willson 2018
Dan Arnold,2018,NO,10,12,150,12.5,15,25t,1,9,19,30,25,1,Dan Arnold 2018
Travis Benjamin,2018,LAC,12,12,186,15.5,15.5,46t,1,9,24,62,46,1,Travis Benjamin 2018
James Develin,2018,NE,16,12,61,5.08,3.8,11,0,3,17,36,11,0,James Develin 2018
Ed Dickson,2018,SEA,10,12,143,11.92,14.3,42,3,7,13,78,42,0,Ed Dickson 2018
Frank Gore,2018,MIA,14,12,124,10.33,8.9,24,1,8,16,115,24,0,Frank Gore 2018
Demetrius Harris,2018,KC,15,12,164,13.67,10.9,35,3,9,25,75,35,0,Demetrius Harris 2018
Brandon LaFell,2018,OAK,6,12,135,11.25,22.5,24,2,9,16,53,24,0,Brandon LaFell 2018
Eli Rogers,2018,PIT,3,12,79,6.58,26.3,17,0,5,14,40,17,0,Eli Rogers 2018
Dalton Schultz,2018,DAL,11,12,116,9.67,10.6,17,0,6,17,66,17,0,Dalton Schultz 2018
Logan Thomas,2018,BUF,12,12,77,6.42,6.4,24,0,3,17,34,24,0,Logan Thomas 2018
Jeffery Wilson,2018,SF,6,12,98,8.17,16.3,24,0,5,15,97,24,0,Jeffery Wilson 2018
Darren Fells,2018,CLE,16,11,117,10.64,7.3,49t,3,6,12,66,49,1,Darren Fells 2018
C.J. Ham,2018,MIN,15,11,85,7.73,5.7,17,0,4,15,84,17,0,C.J. Ham 2018
Darius Jennings,2018,TEN,16,11,101,9.18,6.3,36,0,2,15,37,36,0,Darius Jennings 2018
Andy Jones,2018,DET,8,11,80,7.27,10,15,1,6,24,26,15,0,Andy Jones 2018
Cody Latimer,2018,NYG,6,11,190,17.27,31.7,39,1,6,16,23,39,0,Cody Latimer 2018
Brandon Marshall,2018,SEA,7,11,136,12.36,19.4,27,1,7,23,23,27,0,Brandon Marshall 2018
Marcus Murphy,2018,BUF,11,11,26,2.36,2.4,8,0,2,19,37,8,0,Marcus Murphy 2018
Bilal Powell,2018,NYJ,7,11,110,10,15.7,28t,1,3,18,84,28,1,Bilal Powell 2018
Brandon Powell,2018,DET,6,11,129,11.73,21.5,41,0,6,17,115,41,0,Brandon Powell 2018
Austin Seferian-Jenkins,2018,JAX,5,11,90,8.18,18,21,1,6,19,36,21,0,Austin Seferian-Jenkins 2018
LeGarrette Blount,2018,DET,16,10,67,6.7,4.2,23,0,4,15,87,23,0,LeGarrette Blount 2018
Deontay Burnett,2018,NYJ,5,10,143,14.3,28.6,29,0,7,15,25,29,0,Deontay Burnett 2018
Michael Floyd,2018,WAS,13,10,100,10,7.7,20,1,5,24,29,20,0,Michael Floyd 2018
Marvin Hall,2018,ATL,16,10,149,14.9,9.3,47t,1,5,19,57,47,1,Marvin Hall 2018
Carlos Hyde,2018,CLE/JAX,14,10,33,3.3,2.4,9,0,0,16,59,9,0,Carlos Hyde 2018
Niles Paul,2018,JAX,6,10,98,9.8,16.3,22,0,5,13,32,22,0,Niles Paul 2018
Andre Roberts,2018,NYJ,16,10,79,7.9,4.9,20,1,4,18,17,20,0,Andre Roberts 2018
Russell Shepard,2018,NYG,12,10,188,18.8,15.7,49t,2,7,19,16,49,1,Russell Shepard 2018
Lee Smith,2018,OAK,16,10,73,7.3,4.6,30,3,5,11,55,30,0,Lee Smith 2018
Kalen Ballage,2018,MIA,12,9,56,6.22,4.7,31,0,2,11,76,31,0,Kalen Ballage 2018
Austin Carr,2018,NO,14,9,97,10.78,6.9,25,2,5,14,22,25,0,Austin Carr 2018
Corey Grant,2018,JAX,5,9,67,7.44,13.4,16,0,5,12,83,16,0,Corey Grant 2018
Jermaine Gresham,2018,ARI,13,9,94,10.44,7.2,26,0,6,12,75,26,0,Jermaine Gresham 2018
Dontrell Hilliard,2018,CLE,11,9,105,11.67,9.6,24,0,4,10,90,24,0,Dontrell Hilliard 2018
Richie James,2018,SF,13,9,130,14.44,10,53,1,4,14,101,53,0,Richie James 2018
Cameron Meredith,2018,NO,6,9,114,12.67,19,46,1,4,10,38,46,0,Cameron Meredith 2018
Logan Paulsen,2018,ATL,15,9,91,10.11,6.1,19,1,6,9,58,19,0,Logan Paulsen 2018
Rashaad Penny,2018,SEA,14,9,75,8.33,5.4,24,0,3,12,73,24,0,Rashaad Penny 2018
MyCole Pruitt,2018,TEN,15,9,102,11.33,6.8,27,1,6,11,28,27,0,MyCole Pruitt 2018
Trey Quinn,2018,WAS,3,9,75,8.33,25,15,1,5,10,17,15,0,Trey Quinn 2018
Michael Roberts,2018,DET,8,9,100,11.11,12.5,29,3,5,20,23,29,0,Michael Roberts 2018
Scott Simonson,2018,NYG,16,9,86,9.56,5.4,24,1,6,14,31,24,0,Scott Simonson 2018
Rod Smith,2018,DAL,16,9,60,6.67,3.8,14,0,1,12,57,14,0,Rod Smith 2018
Tavon Austin,2018,DAL,7,8,140,17.5,20,64t,2,5,13,37,64,1,Tavon Austin 2018
Cameron Batson,2018,TEN,11,8,82,10.25,7.5,26,0,5,11,54,26,0,Cameron Batson 2018
Blake Bell,2018,JAX,10,8,67,8.38,6.7,16,0,3,11,38,16,0,Blake Bell 2018
Jake Butt,2018,DEN,3,8,85,10.63,28.3,22,0,4,13,44,22,0,Jake Butt 2018
Will Dissly,2018,SEA,4,8,156,19.5,39,66,2,5,14,93,66,0,Will Dissly 2018
Andy Janovich,2018,DEN,16,8,112,14,7,32,1,5,10,63,32,0,Andy Janovich 2018
Jake Kumerow,2018,GB,5,8,103,12.88,20.6,49t,1,4,11,23,49,1,Jake Kumerow 2018
Taquan Mizzell,2018,CHI,9,8,78,9.75,8.7,26,1,4,10,34,26,0,Taquan Mizzell 2018
Alfred Morris,2018,SF,12,8,73,9.13,6.1,16,0,5,13,67,16,0,Alfred Morris 2018
Nick O'Leary,2018,MIA,12,8,86,10.75,7.2,19,1,6,10,65,19,0,Nick O'Leary 2018
Elijhaa Penny,2018,NYG,14,8,50,6.25,3.6,16,0,1,9,51,16,0,Elijhaa Penny 2018
Anthony Sherman,2018,KC,16,8,96,12,6,36t,1,5,9,56,36,1,Anthony Sherman 2018
Erik Swoope,2018,IND,7,8,87,10.88,12.4,26,3,5,10,17,26,0,Erik Swoope 2018
Eric Tomlinson,2018,NYJ,15,8,72,9,4.8,24,0,3,14,89,24,0,Eric Tomlinson 2018
Josh Adams,2018,PHI,14,7,58,8.29,4.1,13,0,3,13,65,13,0,Josh Adams 2018
Mo Alie-Cox,2018,IND,9,7,133,19,14.8,34,2,6,13,50,34,0,Mo Alie-Cox 2018
Antony Auclair,2018,TB,16,7,48,6.86,3,12,0,1,8,8,12,0,Antony Auclair 2018
Derek Carrier,2018,OAK,16,7,67,9.57,4.2,23,1,3,12,16,23,0,Derek Carrier 2018
Ronald Jones II,2018,TB,9,7,33,4.71,3.7,15,0,2,9,42,15,0,Ronald Jones II 2018
T.J. Logan,2018,ARI,10,7,37,5.29,3.7,17,0,1,7,39,17,0,T.J. Logan 2018
Sony Michel,2018,NE,13,7,50,7.14,3.9,13,0,3,11,50,13,0,Sony Michel 2018
J.J. Nelson,2018,ARI,14,7,64,9.14,4.6,17,0,4,19,24,17,0,J.J. Nelson 2018
Zach Zenner,2018,DET,8,7,56,8,7,30,0,3,10,59,30,0,Zach Zenner 2018
Kamar Aiken,2018,PHI,5,6,53,8.83,10.6,18,0,2,7,11,18,0,Kamar Aiken 2018
Tommy Bohanon,2018,JAX,16,6,41,6.83,2.6,12,0,1,9,35,12,0,Tommy Bohanon 2018
Brice Butler,2018,DAL/MIA,8,6,60,10,7.5,23t,1,4,10,1,23,1,Brice Butler 2018
Kenneth Dixon,2018,BAL,6,6,51,8.5,8.5,21,0,2,7,54,21,0,Kenneth Dixon 2018
Russell Gage,2018,ATL,15,6,63,10.5,4.2,22,0,2,10,19,22,0,Russell Gage 2018
Rashad Greene,2018,JAX,8,6,60,10,7.5,12,0,3,8,15,12,0,Rashad Greene 2018
Xavier Grimble,2018,PIT,16,6,86,14.33,5.4,23,0,4,8,56,23,0,Xavier Grimble 2018
David Grinnage,2018,JAX,4,6,61,10.17,15.2,24,0,2,8,18,24,0,David Grinnage 2018
Dwayne Harris,2018,OAK,15,6,40,6.67,2.7,13,0,1,6,47,13,0,Dwayne Harris 2018
Marcus Johnson,2018,IND,5,6,102,17,20.4,34t,1,5,8,28,34,1,Marcus Johnson 2018
Raheem Mostert,2018,SF,9,6,25,4.17,2.8,23,0,1,7,44,23,0,Raheem Mostert 2018
Durham Smythe,2018,MIA,15,6,50,8.33,3.3,21,0,2,11,7,21,0,Durham Smythe 2018
Neal Sterling,2018,NYJ,5,6,47,7.83,9.4,12,0,2,8,29,12,0,Neal Sterling 2018
Darren Waller,2018,OAK,4,6,75,12.5,18.8,44,0,4,6,56,44,0,Darren Waller 2018
Jay Ajayi,2018,PHI,4,5,20,4,5,12,0,1,6,30,12,0,Jay Ajayi 2018
C.J. Anderson,2018,CAR/LA,11,5,41,8.2,3.7,24t,1,2,9,45,24,1,C.J. Anderson 2018
Malcolm Brown,2018,LA,12,5,52,10.4,4.3,18t,1,2,7,39,18,1,Malcolm Brown 2018
Noah Brown,2018,DAL,8,5,54,10.8,6.8,22,0,2,8,20,22,0,Noah Brown 2018
Garrett Celek,2018,SF,15,5,90,18,6,41t,2,5,8,43,41,1,Garrett Celek 2018
Corey Coleman,2018,NYG,8,5,71,14.2,8.9,30,0,5,8,8,30,0,Corey Coleman 2018
Tyler Conklin,2018,MIN,16,5,77,15.4,4.8,33,0,3,7,31,33,0,Tyler Conklin 2018
Seth Devalve,2018,CLE,13,5,74,14.8,5.7,26,1,3,7,15,26,0,Seth Devalve 2018
Devonta Freeman,2018,ATL,2,5,23,4.6,11.5,14,0,0,7,20,14,0,Devonta Freeman 2018
Zach Line,2018,NO,16,5,14,2.8,0.9,5,2,2,10,7,5,0,Zach Line 2018
Rishard Matthews,2018,TEN/NYJ,8,5,24,4.8,3,7,0,1,9,5,7,0,Rishard Matthews 2018
Ray Ray McCloud,2018,BUF,10,5,36,7.2,3.6,16,0,2,6,28,16,0,Ray Ray McCloud 2018
David Morgan,2018,MIN,11,5,36,7.2,3.3,13,0,2,6,27,13,0,David Morgan 2018
Brian Parker,2018,DEN,13,5,33,6.6,2.5,11,0,2,10,29,11,0,Brian Parker 2018
Joshua Perkins,2018,PHI,9,5,67,13.4,7.4,30,0,4,11,16,30,0,Joshua Perkins 2018
Eric Saubert,2018,ATL,16,5,48,9.6,3,17,0,2,9,13,17,0,Eric Saubert 2018
Adam Shaheen,2018,CHI,6,5,48,9.6,8,23,1,3,6,13,23,0,Adam Shaheen 2018
Keith Smith,2018,OAK,16,5,23,4.6,1.4,8,0,3,7,18,8,0,Keith Smith 2018
Vyncint Smith,2018,HOU,7,5,91,18.2,13,35t,1,3,10,6,35,1,Vyncint Smith 2018
Jeremy Sprinkle,2018,WAS,16,5,41,8.2,2.6,15,1,3,9,21,15,0,Jeremy Sprinkle 2018
Mark Walton,2018,CIN,14,5,41,8.2,2.9,24,0,1,8,48,24,0,Mark Walton 2018
Chad Beebe,2018,MIN,3,4,39,9.75,13,18,0,3,4,12,18,0,Chad Beebe 2018
Nick Bellore,2018,DET,14,4,15,3.75,1.1,8,0,2,4,14,8,0,Nick Bellore 2018
Jawill Davis,2018,NYG,7,4,40,10,5.7,22,0,3,8,4,22,0,Jawill Davis 2018
Jacob Hollister,2018,NE,8,4,52,13,6.5,23,0,2,5,16,23,0,Jacob Hollister 2018
Tyler Kroft,2018,CIN,5,4,36,9,7.2,16,0,4,6,17,16,0,Tyler Kroft 2018
Byron Marshall,2018,WAS,6,4,30,7.5,5,17,0,1,6,28,17,0,Byron Marshall 2018
Roosevelt Nix,2018,PIT,16,4,38,9.5,2.4,19,0,2,6,43,19,0,Roosevelt Nix 2018
Auden Tate,2018,CIN,7,4,35,8.75,5,15,0,2,12,2,15,0,Auden Tate 2018
Robert Tonyan,2018,GB,16,4,77,19.25,4.8,54t,1,3,6,10,54,1,Robert Tonyan 2018
Delanie Walker,2018,TEN,1,4,52,13,52,16,0,4,7,20,16,0,Delanie Walker 2018
Kevin White,2018,CHI,9,4,92,23,10.2,54,0,3,8,6,54,0,Kevin White 2018
Jesus Wilson,2018,TB,5,4,52,13,10.4,25,0,2,5,20,25,0,Jesus Wilson 2018
Javon Wims,2018,CHI,4,4,32,8,8,16,0,2,5,2,16,0,Javon Wims 2018
Ameer Abdullah,2018,DET/MIN,10,3,28,9.33,2.8,12,0,1,4,28,12,0,Ameer Abdullah 2018
Dwayne Allen,2018,NE,13,3,27,9,2.1,21,0,2,4,28,21,0,Dwayne Allen 2018
Cameron Artis-Payne,2018,CAR,9,3,15,5,1.7,13,0,1,4,15,13,0,Cameron Artis-Payne 2018
Brandon Bolden,2018,MIA,16,3,13,4.33,0.8,9,1,1,3,19,9,0,Brandon Bolden 2018
Ben Braunecker,2018,CHI,15,3,42,14,2.8,20,0,2,5,4,20,0,Ben Braunecker 2018
Orson Charles,2018,CLE,13,3,23,7.67,1.8,9,0,0,5,24,9,0,Orson Charles 2018
A.J. Derby,2018,MIA,4,3,48,16,12,19t,1,3,5,9,19,1,A.J. Derby 2018
Patrick DiMarco,2018,BUF,16,3,62,20.67,3.9,38,0,2,4,35,38,0,Patrick DiMarco 2018
Tyler Ervin,2018,HOU,9,3,35,11.67,3.9,19,0,1,3,12,19,0,Tyler Ervin 2018
Keith Ford,2018,BUF,2,3,21,7,10.5,8,0,1,5,22,8,0,Keith Ford 2018
Rico Gathers,2018,DAL,15,3,45,15,3,32,0,2,7,27,32,0,Rico Gathers 2018
Taysom Hill,2018,NO,16,3,4,1.33,0.2,5,0,0,7,5,5,0,Taysom Hill 2018
Justin Hunter,2018,PIT,5,3,21,7,4.2,12,0,2,13,2,12,0,Justin Hunter 2018
Matt Lengel,2018,CIN,11,3,17,5.67,1.6,9,1,2,8,7,9,0,Matt Lengel 2018
Marcedes Lewis,2018,GB,16,3,39,13,2.4,30,0,1,4,31,30,0,Marcedes Lewis 2018
Tommylee Lewis,2018,NO,7,3,60,20,8.6,28t,1,3,3,1,28,1,Tommylee Lewis 2018
Ricky Ortiz,2018,ATL,12,3,11,3.67,0.9,7,0,0,4,13,7,0,Ricky Ortiz 2018
Samaje Perine,2018,WAS,5,3,5,1.67,1,8,0,0,4,9,8,0,Samaje Perine 2018
John Phillips,2018,ARI,8,3,38,12.67,4.8,24,0,1,3,8,24,0,John Phillips 2018
C.J. Prosise,2018,SEA,5,3,22,7.33,4.4,8,0,0,3,17,8,0,C.J. Prosise 2018
Brian Quick,2018,WAS,6,3,18,6,3,6,0,2,3,1,6,0,Brian Quick 2018
Stevan Ridley,2018,PIT,10,3,18,6,1.8,10,0,1,4,12,10,0,Stevan Ridley 2018
De'Anthony Thomas,2018,KC,5,3,29,9.67,5.8,15,1,3,5,30,15,0,De'Anthony Thomas 2018
Jalen Tolliver,2018,ARI,3,3,37,12.33,12.3,15,0,3,6,14,15,0,Jalen Tolliver 2018
Darrel Williams,2018,KC,6,3,27,9,4.5,11t,1,1,3,34,11,1,Darrel Williams 2018
Derrick Willies,2018,CLE,5,3,61,20.33,12.2,39,0,2,5,32,39,0,Derrick Willies 2018
Shaun Wilson,2018,TB,5,3,5,1.67,1,5,0,0,5,5,5,0,Shaun Wilson 2018
Mike Boone,2018,MIN,8,2,1,0.5,0.1,1,0,0,3,5,1,0,Mike Boone 2018
Leonte Carroo,2018,MIA,9,2,94,47,10.4,74t,1,2,4,36,74,1,Leonte Carroo 2018
Jamaal Charles,2018,JAX,2,2,7,3.5,3.5,5,0,0,3,5,5,0,Jamaal Charles 2018
Derrick Coleman,2018,ARI,16,2,17,8.5,1.1,12,0,1,3,7,12,0,Derrick Coleman 2018
Alan Cross,2018,TB,14,2,9,4.5,0.6,6,0,1,5,7,6,0,Alan Cross 2018
Ross Dwelley,2018,SF,11,2,14,7,1.3,8,0,0,2,1,8,0,Ross Dwelley 2018
Gus Edwards,2018,BAL,11,2,20,10,1.8,13,0,1,2,17,13,0,Gus Edwards 2018
D'Onta Foreman,2018,HOU,1,2,28,14,28,20t,1,1,2,10,20,1,D'Onta Foreman 2018
Jordan Franks,2018,CIN,6,2,37,18.5,6.2,32,0,1,3,14,32,0,Jordan Franks 2018
Khadarel Hodge,2018,LA,14,2,17,8.5,1.2,14,0,1,3,0,14,0,Khadarel Hodge 2018
John Kelly,2018,LA,4,2,27,13.5,6.8,18,0,1,3,27,18,0,John Kelly 2018
Jeremy Kerley,2018,BUF,1,2,7,3.5,7,4,0,0,4,15,4,0,Jeremy Kerley 2018
Tre Madden,2018,SEA,14,2,35,17.5,2.5,28,0,1,3,20,28,0,Tre Madden 2018
Chris Manhertz,2018,CAR,16,2,52,26,3.2,50t,1,1,5,45,50,1,Chris Manhertz 2018
J'Mon Moore,2018,GB,12,2,15,7.5,1.2,10,0,1,3,6,10,0,J'Mon Moore 2018
Detrez Newsome,2018,LAC,9,2,19,9.5,2.1,11,0,2,2,19,11,0,Detrez Newsome 2018
Jamize Olawale,2018,DAL,16,2,13,6.5,0.8,10,0,1,4,13,10,0,Jamize Olawale 2018
Charone Peake,2018,NYJ,13,2,25,12.5,1.9,14,0,2,3,4,14,0,Charone Peake 2018
Dion Sims,2018,CHI,8,2,9,4.5,1.1,9,0,0,4,9,9,0,Dion Sims 2018
Roc Thomas,2018,MIN,5,2,21,10.5,4.2,15,0,0,4,12,15,0,Roc Thomas 2018
De'Lance Turner,2018,BAL,4,2,17,8.5,4.2,10,0,0,2,14,10,0,De'Lance Turner 2018
Malik Turner,2018,SEA,6,2,20,10,3.3,19,0,1,3,14,19,0,Malik Turner 2018
Hakeem Valles,2018,DET,3,2,11,5.5,3.7,6,0,0,3,1,6,0,Hakeem Valles 2018
Joe Webb,2018,HOU,16,2,13,6.5,0.8,7,0,0,3,6,7,0,Joe Webb 2018
Charcandrick West,2018,KC,3,2,37,18.5,12.3,25t,1,2,3,25,25,1,Charcandrick West 2018
Nick Williams,2018,TEN/LA,4,2,17,8.5,4.2,11,0,1,5,5,11,0,Nick Williams 2018
Terrance Williams,2018,DAL,3,2,18,9,6,12,0,1,3,6,12,0,Terrance Williams 2018
Alex Armah,2018,CAR,16,1,5,5,0.3,5,0,0,1,5,5,0,Alex Armah 2018
Kenjon Barner,2018,CAR,4,1,3,3,0.8,3,0,0,1,0,3,0,Kenjon Barner 2018
Victor Bolden,2018,SF,4,1,10,10,2.5,10,0,1,4,1,10,0,Victor Bolden 2018
Tom Brady,2018,NE,16,1,6,6,0.4,6,0,0,1,6,6,0,Tom Brady 2018
Drew Brees,2018,NO,15,1,1,1,0.1,1,0,0,1,3,1,0,Drew Brees 2018
Michael Burton,2018,CHI,8,1,6,6,0.8,6,0,1,1,6,6,0,Michael Burton 2018
Damiere Byrd,2018,CAR,8,1,8,8,1,8,0,1,2,1,8,0,Damiere Byrd 2018
Travaris Cadet,2018,CAR,1,1,5,5,5,5,0,0,1,4,5,0,Travaris Cadet 2018
Derek Carr,2018,OAK,16,1,-9,-9,-0.6,-9,0,0,1,-9,-9,0,Derek Carr 2018
Jehu Chesson,2018,WAS,12,1,7,7,0.6,7,0,1,2,0,7,0,Jehu Chesson 2018
Sammie Coates,2018,HOU,12,1,12,12,1,12,0,1,2,5,12,0,Sammie Coates 2018
Kirk Cousins,2018,MIN,16,1,-1,-1,-0.1,-1,0,0,1,6,-1,0,Kirk Cousins 2018
River Cracraft,2018,DEN,8,1,44,44,5.5,44,0,1,2,7,44,0,River Cracraft 2018
Dane Cruikshank,2018,TEN,12,1,66,66,5.5,66t,1,1,1,49,66,1,Dane Cruikshank 2018
Sean Culkin,2018,LAC,13,1,24,24,1.9,24,0,1,1,0,24,0,Sean Culkin 2018
Benny Cunningham,2018,CHI,15,1,9,9,0.6,9,0,1,2,13,9,0,Benny Cunningham 2018
Chase Daniel,2018,CHI,5,1,8,8,1.6,8,0,1,1,14,8,0,Chase Daniel 2018
Dion Dawkins,2018,BUF,16,1,7,7,0.4,7t,1,1,1,0,7,1,Dion Dawkins 2018
Taylor Decker,2018,DET,16,1,11,11,0.7,11t,1,1,1,10,11,1,Taylor Decker 2018
Gehrig Dieter,2018,KC,4,1,22,22,5.5,22,0,1,3,13,22,0,Gehrig Dieter 2018
George Fant,2018,SEA,16,1,9,9,0.6,9,0,0,1,9,9,0,George Fant 2018
Matt Flanagan,2018,WAS,3,1,14,14,4.7,14,0,1,1,7,14,0,Matt Flanagan 2018
Nick Foles,2018,PHI,5,1,10,10,2,15,0,1,1,2,15,0,Nick Foles 2018
Shelton Gibson,2018,PHI,15,1,48,48,3.2,48,0,1,3,0,48,0,Shelton Gibson 2018
Mike Gillislee,2018,NO,4,1,9,9,2.2,9,0,0,1,9,9,0,Mike Gillislee 2018
Justin Hardee,2018,NO,16,1,10,10,0.6,10,0,1,1,2,10,0,Justin Hardee 2018
Keon Hatcher,2018,OAK,3,1,8,8,2.7,8,0,0,2,8,8,0,Keon Hatcher 2018
Ryan Hewitt,2018,IND,12,1,1,1,0.1,1t,1,1,2,0,1,1,Ryan Hewitt 2018
Darrius Heyward-Bey,2018,PIT,14,1,9,9,0.6,9,0,0,2,10,9,0,Darrius Heyward-Bey 2018
Brian Hill,2018,ATL,10,1,9,9,0.9,9,0,0,2,5,9,0,Brian Hill 2018
Jeremy Hill,2018,NE,1,1,6,6,6,6,0,0,1,5,6,0,Jeremy Hill 2018
J.J. Jones,2018,NYJ,1,1,3,3,3,3,0,0,1,1,3,0,J.J. Jones 2018
Ryan Kelly,2018,IND,12,1,-4,-4,-0.3,-4,0,0,1,-1,-4,0,Ryan Kelly 2018
Marcus Kemp,2018,KC,16,1,7,7,0.4,7,0,0,2,8,7,0,Marcus Kemp 2018
Darvin Kidsy,2018,WAS,2,1,8,8,4,8,0,1,2,2,8,0,Darvin Kidsy 2018
Allen Lazard,2018,GB,1,1,7,7,7,7,0,0,1,0,7,0,Allen Lazard 2018
Khari Lee,2018,BUF,2,1,5,5,2.5,5,0,0,1,6,5,0,Khari Lee 2018
Andrew Luck,2018,IND,16,1,4,4,0.2,4,0,1,2,0,4,0,Andrew Luck 2018
Josh Malone,2018,CIN,9,1,12,12,1.3,12,0,1,5,0,12,0,Josh Malone 2018
Marcus Mariota,2018,TEN,14,1,21,21,1.5,21,0,1,1,11,21,0,Marcus Mariota 2018
John Mundt,2018,LA,10,1,5,5,0.5,5,0,0,1,5,5,0,John Mundt 2018
Cam Phillips,2018,BUF,2,1,9,9,4.5,9,0,0,1,7,9,0,Cam Phillips 2018
Spencer Pulley,2018,NYG,13,1,-2,-2,-0.1,-2,0,0,1,0,-2,0,Spencer Pulley 2018
Richard Rodgers,2018,PHI,7,1,7,7,1,7,0,1,1,9,7,0,Richard Rodgers 2018
Ben Roethlisberger,2018,PIT,16,1,-1,-1,-0.1,-1,0,0,1,-1,-1,0,Ben Roethlisberger 2018
Matt Ryan,2018,ATL,16,1,5,5,0.3,5t,1,1,1,4,5,1,Matt Ryan 2018
Matt Schaub,2018,ATL,3,1,-7,-7,-2.3,-7,0,0,1,0,-7,0,Matt Schaub 2018
Sam Shields,2018,LA,16,1,12,12,0.8,12,0,1,1,6,12,0,Sam Shields 2018
Bradley Sowell,2018,CHI,16,1,2,2,0.1,2t,1,1,2,0,2,1,Bradley Sowell 2018
Joe Staley,2018,SF,16,1,-5,-5,-0.3,-5,0,0,1,5,-5,0,Joe Staley 2018
Tyrone Swoopes,2018,SEA,1,1,23,23,23,23,0,1,1,15,23,0,Tyrone Swoopes 2018
Ryan Tannehill,2018,MIA,11,1,3,3,0.3,3t,1,1,1,1,3,1,Ryan Tannehill 2018
Robert Turbin,2018,IND,2,1,3,3,1.5,3,0,0,2,3,3,0,Robert Turbin 2018
Alejandro Villanueva,2018,PIT,16,1,2,2,0.1,2t,1,1,1,0,2,1,Alejandro Villanueva 2018
Dan Vitale,2018,GB,5,1,2,2,0.4,2,0,1,2,0,2,0,Dan Vitale 2018
DeAndre Washington,2018,OAK,10,1,9,9,0.9,9,0,0,1,7,9,0,DeAndre Washington 2018
Justin Watson,2018,TB,12,1,5,5,0.4,5,0,0,3,0,5,0,Justin Watson 2018
Derek Watt,2018,LAC,16,1,2,2,0.1,2,0,0,1,2,2,0,Derek Watt 2018
Carson Wentz,2018,PHI,11,1,4,4,0.4,4,0,1,1,9,4,0,Carson Wentz 2018
Tim White,2018,BAL,3,1,14,14,4.7,14,0,1,1,0,14,0,Tim White 2018
Jonathan Williams,2018,NO,3,1,1,1,0.3,1,0,0,1,0,1,0,Jonathan Williams 2018
Kyle Williams,2018,BUF,16,1,9,9,0.6,9,0,0,1,10,9,0,Kyle Williams 2018
Russell Wilson,2018,SEA,16,1,-11,-11,-0.7,-11,0,0,1,-1,-11,0,Russell Wilson 2018
Brandon Zylstra,2018,MIN,16,1,23,23,1.4,23,0,1,2,8,23,0,Brandon Zylstra 2018
Josh Allen,2018,BUF,12,0,0,0,0,0,0,0,1,0,0,0,Josh Allen 2018
Stacy Coley,2018,MIN,2,0,0,0,0,0,0,0,1,0,0,0,Stacy Coley 2018
Pharoh Cooper,2018,LA,5,0,0,0,0,0,0,0,1,0,0,0,Pharoh Cooper 2018
Mason Crosby,2018,GB,16,0,0,0,0,0,0,0,1,0,0,0,Mason Crosby 2018
Jerome Cunningham,2018,DET,3,0,0,0,0,0,0,0,1,0,0,0,Jerome Cunningham 2018
Darrell Daniels,2018,SEA/ARI,11,0,0,0,0,0,0,0,2,0,0,0,Darrell Daniels 2018
Geremy Davis,2018,LAC,14,0,0,0,0,0,0,0,1,0,0,0,Geremy Davis 2018
Isaiah Ford,2018,MIA,1,0,0,0,0,0,0,0,1,0,0,0,Isaiah Ford 2018
Stephen Hauschka,2018,BUF,16,0,0,0,0,0,0,0,1,0,0,0,Stephen Hauschka 2018
Johnny Holton,2018,OAK,1,0,0,0,0,0,0,0,1,0,0,0,Johnny Holton 2018
Sam Hubbard,2018,CIN,16,0,0,0,0,0,0,0,1,0,0,0,Sam Hubbard 2018
Darius Jackson,2018,DAL,2,0,0,0,0,0,0,0,1,0,0,0,Darius Jackson 2018
Lamar Jackson,2018,BAL,16,0,0,0,0,0,0,0,2,0,0,0,Lamar Jackson 2018
Taiwan Jones,2018,BUF,6,0,0,0,0,0,0,0,2,0,0,0,Taiwan Jones 2018
Chris Lacy,2018,DET,1,0,0,0,0,0,0,0,1,0,0,0,Chris Lacy 2018
Jourdan Lewis,2018,DAL,15,0,0,0,0,0,0,0,1,0,0,0,Jourdan Lewis 2018
Freddie Martino,2018,TB,4,0,0,0,0,0,0,0,1,0,0,0,Freddie Martino 2018
Baker Mayfield,2018,CLE,14,0,0,0,0,0,0,0,1,0,0,0,Baker Mayfield 2018
